regime_label,pressure_state,vol_state,vol_trend_state,dp_state,macro_state,n,trade_freq,win_rate,expectancy,sharpe_ann,t_stat,max_dd,meets_min_n,total_contribution
mid_vol|rising_voltrend|low_dp|low_macro|0_comp,NORMAL,mid,rising,low,,28,0.14736842105263157,0.75,0.003014259600616118,8.391478201401858,2.797159400467286,-0.0111981195500203,False,0.08439926881725131
high_vol|rising_voltrend|low_dp|low_macro|0_comp,NORMAL,high,rising,low,,16,0.08421052631578947,0.6875,0.0029119278006712124,5.535422601197066,1.3947953908965431,-0.021273608046958697,False,0.0465908448107394
high_vol|rising_voltrend|low_dp|normal_macro|0_comp,NORMAL,high,rising,low,,4,0.021052631578947368,1.0,0.009307699499353601,23.37975373152075,2.9455720994065846,0.0,False,0.037230797997414404
unknown_vol|rising_voltrend|low_dp|low_macro|0_comp,NORMAL,unknown,rising,low,,5,0.02631578947368421,0.8,0.0061033982484339205,15.549109371533502,2.1902326570984316,-0.0034471509764099004,False,0.0305169912421696
mid_vol|falling_voltrend|low_dp|low_macro|0_comp,NORMAL,mid,falling,low,,28,0.14736842105263157,0.6071428571428571,0.0009125613952974357,2.723386139247632,0.9077953797492107,-0.0228766013325979,False,0.0255517190683282
low_vol|rising_voltrend|low_dp|low_macro|0_comp,NORMAL,low,rising,low,,5,0.02631578947368421,0.6,0.00437640853441138,8.848853533532397,1.246441035555729,-0.005269968936540401,False,0.0218820426720569
unknown_vol|rising_voltrend|low_dp|normal_macro|0_comp,NORMAL,unknown,rising,low,,3,0.015789473684210527,0.6666666666666666,0.006667050952325767,16.2939364182711,1.7778142144172608,-0.0006746172990641994,False,0.0200011528569773
high_vol|falling_voltrend|low_dp|low_macro|0_comp,NORMAL,high,falling,low,,8,0.042105263157894736,0.5,0.002291340549913025,4.365995736483878,0.777907628478021,-0.008558364343190999,False,0.0183307243993042
low_vol|falling_voltrend|low_dp|low_macro|0_comp,NORMAL,low,falling,low,,22,0.11578947368421053,0.5909090909090909,0.0007654940099302,2.705375019307915,0.7993528828482723,-0.013222953635897799,False,0.0168408682184644
mid_vol|falling_voltrend|low_dp|low_macro|0_comp,NORMAL,mid,falling,low,low,8,0.042105263157894736,0.5,0.0019194373021504372,4.762685410621824,0.8485874784539824,-0.012563444707828301,False,0.015355498417203498
high_vol|falling_voltrend|low_dp|low_macro|0_comp,NORMAL,high,falling,low,low,1,0.005263157894736842,1.0,0.0099266968380706,,,0.0,False,0.0099266968380706
mid_vol|rising_voltrend|low_dp|low_macro|0_comp,NORMAL,mid,rising,low,low,3,0.015789473684210527,0.6666666666666666,0.0030107110023080996,9.222931683867118,1.0063043469220858,-0.0028373655692836,False,0.0090321330069243
mid_vol|falling_voltrend|low_dp|normal_macro|0_comp,NORMAL,mid,falling,low,,1,0.005263157894736842,1.0,0.0079783189458035,,,0.0,False,0.0079783189458035
high_vol|rising_voltrend|low_dp|low_macro|0_comp,NORMAL,high,rising,low,low,1,0.005263157894736842,1.0,0.00733446378289,,,0.0,False,0.00733446378289
high_vol|falling_voltrend|low_dp|normal_macro|0_comp,NORMAL,high,falling,low,,1,0.005263157894736842,1.0,0.006128411525621,,,0.0,False,0.006128411525621
high_vol|falling_voltrend|low_dp|low_macro|1_comp,COILED,high,falling,low,low,2,0.010526315789473684,0.5,0.00267481520355925,6.15957173181848,0.5487382635648232,0.0,False,0.0053496304071185
mid_vol|rising_voltrend|high_dp|low_macro|0_comp,NORMAL,mid,rising,high,,2,0.010526315789473684,1.0,0.0024710925180527,34.9176481167991,3.1107113334522514,0.0,False,0.0049421850361054
mid_vol|falling_voltrend|low_dp|low_macro|1_comp,COILED,mid,falling,low,,4,0.021052631578947368,0.75,0.00054616657090045,4.444748053062693,0.559985618511543,0.0,False,0.0021846662836018
high_vol|rising_voltrend|low_dp|low_macro|0_comp,NORMAL,high,rising,low,normal,1,0.005263157894736842,1.0,0.0007004744280911,,,0.0,False,0.0007004744280911
high_vol|rising_voltrend|low_dp|normal_macro|0_comp,NORMAL,high,rising,low,low,1,0.005263157894736842,1.0,0.0002400741058487,,,0.0,False,0.0002400741058487
low_vol|falling_voltrend|low_dp|normal_macro|0_comp,NORMAL,low,falling,low,,4,0.021052631578947368,0.5,-8.683843242835004e-05,-0.5970023815735126,-0.07521523017889542,-0.0036238261358171003,False,-0.00034735372971340017
mid_vol|falling_voltrend|low_dp|normal_macro|1_comp,COILED,mid,falling,low,low,1,0.005263157894736842,0.0,-0.0003545410939948,,,0.0,False,-0.0003545410939948
mid_vol|falling_voltrend|low_dp|low_macro|1_comp,COILED,mid,falling,low,low,3,0.015789473684210527,0.6666666666666666,-0.00032467613702439994,-1.2451691950810162,-0.13585909736871407,-0.0050659487281461,False,-0.0009740284110731998
mid_vol|rising_voltrend|low_dp|normal_macro|0_comp,NORMAL,mid,rising,low,,2,0.010526315789473684,0.5,-0.00052614492234925,-0.9353112014726488,-0.0833241444267273,0.0,False,-0.0010522898446985
mid_vol|rising_voltrend|normal_dp|low_macro|0_comp,NORMAL,mid,rising,normal,low,5,0.02631578947368421,0.6,-0.00029307995733226025,-0.5439998291857963,-0.07662729503466031,-0.012689262877231402,False,-0.0014653997866613012
mid_vol|falling_voltrend|high_dp|low_macro|0_comp,NORMAL,mid,falling,high,low,1,0.005263157894736842,0.0,-0.0026643649378801,,,0.0,False,-0.0026643649378801
mid_vol|rising_voltrend|low_dp|high_macro|0_comp,NORMAL,mid,rising,low,low,1,0.005263157894736842,0.0,-0.0035434623831846,,,0.0,False,-0.0035434623831846
unknown_vol|rising_voltrend|low_dp|low_macro|0_comp,UNRESOLVED_PRESSURE,unknown,rising,low,,1,0.005263157894736842,0.0,-0.0039989224863423,,,0.0,False,-0.0039989224863423
mid_vol|falling_voltrend|high_dp|low_macro|0_comp,NORMAL,mid,falling,high,,6,0.031578947368421054,0.5,-0.0006902210265612335,-1.4845223198504505,-0.2290667670464206,-0.0085975032130402,False,-0.004141326159367401
